cell,window_index,offset,method,n_steps,sla_sum,resource_sum,adaptation_nonnoop_sum,source_vertical_sum,action_change_sum,sla_rate,resource_mean,adaptation_nonnoop_rate,source_vertical_rate,action_change_rate
p1_lag_k10,23,392098,rossi,4001.0,74.0,1047.54,769.0,155.0,958.0,0.01849537615596101,0.2618195451137216,0.19220194951262184,0.03874031492126968,0.2395
p1_lag_k10,23,392098,threshold,4001.0,1065.0,1688.2999999999997,1912.0,0.0,436.0,0.2661834541364659,0.42196950762309415,0.4778805298675331,0.0,0.109
p1_lag_k10,24,396099,rossi,4001.0,84.0,1111.5900000000001,737.0,143.0,972.0,0.020994751312171957,0.27782804298925273,0.1842039490127468,0.035741064733816545,0.243
p1_lag_k10,24,396099,threshold,4001.0,1154.0,1782.7,1975.0,0.0,466.0,0.2884278930267433,0.4455636090977256,0.4936265933516621,0.0,0.1165
p1_lag_k10,25,432108,rossi,4001.0,77.0,1000.26,422.0,130.0,492.0,0.019245188702824295,0.25000249937515623,0.10547363159210198,0.032491877030742314,0.123
p1_lag_k10,25,432108,threshold,4001.0,1074.0,1672.9,1867.0,0.0,435.0,0.26843289177705576,0.4181204698825294,0.46663334166458387,0.0,0.10875
p1_lag_k10,26,436109,rossi,4001.0,46.0,1058.72,515.0,85.0,707.0,0.011497125718570358,0.2646138465383654,0.12871782054486378,0.02124468882779305,0.17675
p1_lag_k10,26,436109,threshold,4001.0,1159.0,1792.4,2042.0,0.0,468.0,0.2896775806048488,0.44798800299925023,0.5103724068982755,0.0,0.117
p1_lag_k10,27,456114,rossi,4001.0,45.0,1144.1,697.0,84.0,974.0,0.011247188202949263,0.2859535116220945,0.17420644838790303,0.020994751312171957,0.2435
p1_lag_k10,27,456114,threshold,4001.0,1100.0,1749.2,1939.0,0.0,465.0,0.2749312671832042,0.4371907023244189,0.4846288427893027,0.0,0.11625
p1_lag_k10,28,492123,rossi,4001.0,60.0,985.16,810.0,155.0,1058.0,0.014996250937265684,0.24622844288927767,0.20244938765308673,0.03874031492126968,0.2645
p1_lag_k10,28,492123,threshold,4001.0,1023.0,1628.5,1810.0,0.0,429.0,0.2556860784803799,0.40702324418895275,0.45238690327418146,0.0,0.10725
p1_lag_k10,29,512128,rossi,4001.0,58.0,799.2600000000002,597.0,140.0,813.0,0.014496375906023495,0.19976505873531622,0.14921269682579355,0.03499125218695326,0.20325
p1_lag_k10,29,512128,threshold,4001.0,863.0,1464.3000000000002,1689.0,0.0,387.0,0.21569607598100474,0.3659835041239691,0.422144463884029,0.0,0.09675
